n 5000
1920-01-09 M 0
1920-01-27 M 0
1920-03-16 F 0
1920-04-03 M 0
1920-04-14 M 0
1920-04-14 F 0
1920-04-22 M 0
1920-05-10 F 0
1920-05-15 F 0
1920-05-16 M 0
1920-05-16 M 0
1920-05-21 F 0
1920-05-26 F 0
1920-05-27 M 0
1920-05-29 F 0
1920-06-30 M 0
1920-07-01 M 0
1920-07-12 M 0
1920-07-13 F 0
1920-08-06 M 0
1920-08-11 M 0
1920-08-14 M 0
1920-08-22 F 0
1920-08-30 M 0
1920-08-30 M 0
1920-09-06 F 0
1920-09-11 M 0
1920-09-19 M 0
1920-09-20 F 0
1920-10-02 M 0
1920-10-04 M 0
1920-10-08 M 0
1920-10-13 F 0
1920-10-23 F 0
1920-10-29 F 0
1920-11-03 M 0
1920-11-08 M 0
1920-11-19 F 0
1920-11-26 F 0
1920-12-11 F 0
1920-12-19 M 0
1920-12-22 M 0
1920-12-24 F 0
1920-12-27 F 0
1920-12-28 M 0
1921-01-01 F 783
1921-01-03 F 657
1921-01-07 F 2233
1921-01-19 M 18
1921-01-20 F 2082
1921-01-26 F 740
1921-01-30 M 3061
1921-02-02 F 60
1921-02-04 F 2548
1921-02-17 F 1359
1921-02-18 M 2963
1921-02-20 F 144
1921-02-22 M 2291
1921-02-24 F 821
1921-02-28 M 3054
1921-03-22 F 157
1921-04-19 F 1642
1921-04-19 F 1008
1921-05-04 M 1786
1921-05-19 M 132
1921-06-06 M 384
1921-06-13 F 659
1921-06-16 M 2412
1921-06-21 F 2400
1921-06-22 F 782
1921-07-01 M 1856
1921-07-02 M 1091
1921-07-10 F 1995
1921-07-12 F 1761
1921-07-13 M 2851
1921-07-25 M 996
1921-08-05 F 89
1921-08-07 F 933
1921-08-18 F 710
1921-08-22 F 1506
1921-08-23 M 884
1921-09-28 F 2317
1921-09-28 M 1384
1921-09-29 F 3218
1921-10-04 M 1881
1921-10-10 M 200
1921-10-13 M 3106
1921-11-11 F 2616
1921-11-21 M 1274
1921-11-25 F 2534
1921-11-26 F 79
1921-12-02 F 839
1921-12-11 F 2330
1921-12-13 F 3166
1921-12-23 F 1552
1921-12-24 M 1393
1921-12-29 M 1448
1922-01-17 F 1402
1922-01-22 F 974
1922-01-28 M 797
1922-02-05 M 1563
1922-02-05 F 1362
1922-03-09 F 1780
1922-03-14 M 45
1922-03-16 M 1699
1922-03-25 F 1001
1922-03-27 M 1741
1922-04-03 F 311
1922-04-13 M 641
1922-05-08 F 665
1922-05-21 M 876
1922-05-31 F 2696
1922-06-18 F 2838
1922-07-04 F 2781
1922-07-27 F 473
1922-08-09 F 1385
1922-08-11 M 169
1922-08-13 M 648
1922-08-15 M 725
1922-08-18 M 2788
1922-08-19 M 2268
1922-08-22 M 1539
1922-09-06 F 2557
1922-09-10 F 431
1922-09-30 M 2957
1922-10-07 F 361
1922-10-16 M 2220
1922-10-19 M 1048
1922-10-30 M 1213
1922-11-22 F 1711
1922-12-05 F 1340
1922-12-07 M 1065
1923-01-15 F 2887
1923-01-30 F 1753
1923-02-02 F 523
1923-02-11 F 1418
1923-02-18 M 1201
1923-02-19 F 3023
1923-03-21 F 32
1923-03-25 F 2681
1923-03-26 F 882
1923-04-14 M 2519
1923-04-16 M 476
1923-05-24 M 1254
1923-05-30 M 2896
1923-05-31 F 1089
1923-06-17 F 1272
1923-07-14 F 62
1923-08-05 F 1893
1923-08-21 M 1011
1923-08-23 F 2607
1923-08-30 F 1495
1923-09-02 F 2415
1923-09-06 M 3256
1923-09-15 F 1295
1923-10-03 M 1985
1923-10-20 F 2036
1923-10-28 M 2750
1923-11-22 F 651
1923-11-25 F 2457
1923-12-16 F 665
1923-12-19 F 859
1923-12-21 M 2163
1923-12-23 F 1822
1924-01-07 M 1186
1924-01-08 M 2404
