  1.yoche2000      支持申請原因 也請大家多支持        來源:175.159.210.125
  2.deflife        看來版主對專版頗有研究             來源:39.8.42.125
  3.pp1877         同意連署理由。                     來源:118.166.144.32
  4.diabolica      公園好冷捏                         來源:49.158.78.174
  5.bbaian         35可愛                             來源:223.137.73.9
  6.fairymomo      35可愛，沒什麼不行                 來源:114.41.39.83
  7.PunkGrass      miko好可愛捏                       來源:36.229.89.182
  8.nightcrow      有獨立的精華區跟活動感覺不錯       來源:118.168.185.81
  9.kevinlee2001   支持                               來源:125.228.57.15
 10.finzaghi       身為前35P 樂於看到35板             來源:123.194.9.154
 11.pipiispipi     支持 身為博士的偶像沒道理不能開    來源:111.243.41.146
 12.zenice         博依能開沒理由35不能 你齁最好都開  來源:175.181.144.39
 13.dodomilk       板主加油                           來源:118.161.4.62
 14.ephraim13825   35P支持捏                          來源:49.159.128.82
 15.dogluckyno1    支持開版理由                       來源:39.11.0.76
 16.akitolin       35P終究要進化成45P的，何布現在進化 來源:223.136.79.184
 17.zxcv070801     絕對支持 已經支持                  來源:175.182.177.164
 18.twodollar      雖然有dc群 但多個專版看資訊也不錯  來源:123.193.195.102
 19.williamgood    支持申請原因!                      來源:36.229.167.80
 20.dragon8844     35P只能推了                        來源:114.36.209.6
 21.r5588801       支持開板                           來源:123.192.81.74
 22.hanaya         捏                                 來源:124.218.52.235
 23.GALGUN         35P無條件支持                      來源:111.240.205.127
 24.eric40325      35可愛                             來源:119.14.69.83
 25.chu630         同意申請理由                       來源:125.228.185.69
 26.ckloser1st     想看看有多少35P捏                  來源:124.218.32.58
 27.RS9527         35p一定支持                        來源:123.194.162.52
 28.karta1363946   捏                                 來源:49.159.5.130
 29.z7407442       35可愛                             來源:116.59.126.155
 30.jeff235711                                        來源:59.127.206.158
 31.Y1999          支持連署理由                       來源:101.3.119.87
 32.mikeou896      不是35P但支持主推有專版            來源:114.37.155.150
 33.keepgimo       支持                               來源:122.121.238.86
 34.emuless        支持開板原因 不是35P 樂見有專板    來源:59.126.225.192
 35.apycalo        同意申請原因                       來源:111.250.53.241
 36.tonyhsu0822    菁英巫女應該有專版捏               來源:59.125.102.121
 37.crayon1988     同意連署理由，推有心:3             來源:42.77.47.216
 38.leo1990910     同意申請理由,我愛35                來源:49.230.50.232
 39.j579856        支持菁英                           來源:8.37.43.233
 40.aria0520       同意連署理由 相信y板的豐富管板資歷 來源:61.57.145.79
 41.aegius1r       同意連署理由                       來源:122.116.66.1
 42.Qazzwer        同意連署理由                       來源:114.41.11.48
 43.ASAKU581       35可愛                             來源:118.240.149.174
 44.dragon327      咪咪咪咪口咪口咪　我愛35           來源:220.135.17.73
 45.often897       支持miko                           來源:122.116.96.122
 46.dorydoze       希望能多看到有人分享35的資訊       來源:36.229.157.62
 47.Chaowei        Miko這麼可愛怎麼忍心反對捏         來源:111.83.148.220
 48.jk8177919      好好吃捏                           來源:220.136.152.27
 49.energy100203   支持支持3535得第一                 來源:118.169.233.29
 50.NtAlice        35有專板的話覺得開心               來源:114.47.29.43
 51.yungwena       支持開板理由                       來源:218.173.135.142
 52.Exmax1999      同意連署理由                       來源:126.6.55.197
 53.medama         支持連署理由˙                     來源:112.78.74.120
 54.vorsss         咪口超可愛捏                       來源:61.224.145.13
 55.maplenight     35P支持                            來源:114.43.0.221
